,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,start_latlng,start_latitude,start_longitude,distance_km,day_of_week,month_of_year,year,elapsed_time_hr,moving_time_hr
58,10341678813,Morning Nordic Ski,2023-12-07 08:57:12,NordicSki,4352.9,0 days 00:00:00.000001789,0 days 00:00:00.000002135,36.0,1079.6,1047.1,2.433,6.15,"[45.9322196803987, 6.884595947340131]",45.9322196803987,6.884595947340131,4.3529,Thursday,12,2023,5.930555555555556e-10,4.969444444444444e-10
59,10337248570,Fun with Timo,2023-12-06 11:09:24,AlpineSki,23479.1,0 days 00:00:00.000006008,0 days 00:00:00.000007692,2805.3,2752.7,1880.3,3.908,14.002,"[45.96175264567137, 6.940646907314658]",45.96175264567137,6.940646907314658,23.4791,Wednesday,12,2023,2.1366666666666665e-09,1.6688888888888888e-09
60,10321670459,A gentle first day on v busy slopes.,2023-12-03 11:06:53,AlpineSki,15983.7,0 days 00:00:00.000004505,0 days 00:00:00.000008699,1723.3,2752.7,1644.5,3.548,16.506,"[45.961702689528465, 6.940725529566407]",45.961702689528465,6.940725529566407,15.9837,Sunday,12,2023,2.416388888888889e-09,1.2513888888888888e-09
61,10301390540,Afternoon Walk,2023-11-29 15:51:04,Hike,2195.3,0 days 00:00:00.000001769,0 days 00:00:00.000001819,16.5,1082.0,1055.5,1.241,5.425,"[45.935133, 6.892188]",45.935133,6.892188,2.1953,Wednesday,11,2023,5.052777777777778e-10,4.913888888888889e-10
62,10279542239,Afternoon Run,2023-11-25 15:35:46,Run,6428.7,0 days 00:00:00.000002725,0 days 00:00:00.000002866,109.5,1044.4,1000.5,2.359,3.958,"[45.90691748075187, 6.843893760815263]",45.90691748075187,6.843893760815263,6.4287,Saturday,11,2023,7.961111111111111e-10,7.569444444444444e-10
63,10263023186,Afternoon Run,2023-11-22 16:09:16,Run,3109.0,0 days 00:00:00.000001117,0 days 00:00:00.000001117,14.6,1064.7,1036.7,2.783,4.46,"[45.931599168106914, 6.886495789512992]",45.931599168106914,6.886495789512992,3.109,Wednesday,11,2023,3.1027777777777776e-10,3.1027777777777776e-10
64,10225774249,Afternoon hike,2023-11-15 14:31:39,Hike,8769.5,0 days 00:00:00.000006946,0 days 00:00:00.000007322,307.3,1289.1,1041.8,1.263,6.116,"[45.92745054513216, 6.874403217807412]",45.92745054513216,6.874403217807412,8.7695,Wednesday,11,2023,2.033888888888889e-09,1.9294444444444446e-09
65,10200312368,Afternoon Hike,2023-11-11 14:02:27,Hike,4681.1,0 days 00:00:00.000006041,0 days 00:00:00.000006495,820.6,1890.5,1071.7,0.775,5.94,"[45.945413, 6.888607]",45.945413,6.888607,4.681100000000001,Saturday,11,2023,1.8041666666666667e-09,1.6780555555555556e-09
66,10183076510,Afternoon Run,2023-11-08 15:40:18,Run,6005.8,0 days 00:00:00.000002274,0 days 00:00:00.000002276,99.8,1149.8,1055.2,2.641,5.262,"[45.93153211288154, 6.88619127497077]",45.93153211288154,6.88619127497077,6.0058,Wednesday,11,2023,6.322222222222222e-10,6.316666666666667e-10
67,10159391282,Afternoon Hike,2023-11-04 14:18:50,Hike,8603.0,0 days 00:00:00.000007176,0 days 00:00:00.000007808,511.5,1558.5,1061.6,1.199,3.778,"[45.94148042611778, 6.8855702597647905]",45.94148042611778,6.8855702597647905,8.603,Saturday,11,2023,2.168888888888889e-09,1.9933333333333335e-09
